【整租】福泰院子 上地 上地福泰院子,上地,3200,http://bj.58.com/pinpaigongyu/33322211376043x.shtml?psid=161528243199306267615938177
【合租】孙河 康营家园13期 3室主卧,康营家园13期,2200,http://bj.58.com/pinpaigongyu/32737073988545x.shtml?psid=161528243199306267615938177
【整租】A+麒寓 管庄 A+麒寓管庄店,管庄,2560-4000,http://bj.58.com/pinpaigongyu/33344294461364x.shtml?psid=161528243199306267615938177
【整租】沙河 恒大城5号院 2室1厅,恒大城5号院,4000,http://bj.58.com/pinpaigongyu/33351417206964x.shtml?psid=161528243199306267615938177
【整租】沙河 保利罗兰香谷 1室0厅,保利罗兰香谷,3000,http://bj.58.com/pinpaigongyu/33351472714318x.shtml?psid=161528243199306267615938177
【整租】福泰院子 上地 上地福泰院子,上地,2800-3600,http://bj.58.com/pinpaigongyu/33255743706316x.shtml?psid=161528243199306267615938177
【合租】孙河 康营家园12期 2室次卧,康营家园12期,2000,http://bj.58.com/pinpaigongyu/31949187544895x.shtml?psid=161528243199306267615938177
【整租】沙河 恒大城5号院 2室1厅,恒大城5号院,4000,http://bj.58.com/pinpaigongyu/33351472169424x.shtml?psid=161528243199306267615938177
【合租】孙河 康营家园24期 3室次卧,康营家园24期,2580,http://bj.58.com/pinpaigongyu/33307322895928x.shtml?psid=161528243199306267615938177
【合租】孙河 康营家园14期 3室次卧,康营家园14期,2180,http://bj.58.com/pinpaigongyu/32709713266105x.shtml?psid=161528243199306267615938177
【整租】马连道 马连道西里小区 1室0厅,马连道西里小区,2999,http://bj.58.com/pinpaigongyu/31449498998467x.shtml?psid=161528243199306267615938177
【整租】乐乎社区 豆各庄 乐乎京哈店,豆各庄,2400-2800,http://bj.58.com/pinpaigongyu/33322053625021x.shtml?psid=161528243199306267615938177
【合租】朝青板块 珠江罗马嘉园(东 3室主卧,珠江罗马嘉园(东,3600,http://bj.58.com/pinpaigongyu/32986846870954x.shtml?psid=161528243199306267615938177
